country,rice_recipes,flour_recipes,all_recipes,net_flour_pct
Israeli,2,5,23,0.13043478260869565
German,1,34,62,0.532258064516129
Jamaican,3,10,43,0.16279069767441862
Swiss,1,8,10,0.7
Portuguese,4,12,53,0.1509433962264151
Finnish,1,17,18,0.8888888888888888
French,0,29,65,0.4461538461538462
Austrian,0,21,22,0.9545454545454546
Pakistani,3,4,25,0.04
Chilean,0,6,22,0.2727272727272727
Brazilian,4,19,67,0.22388059701492538
Indian,12,10,65,-0.03076923076923077
Turkish,3,16,36,0.3611111111111111
Malaysian,2,1,24,-0.041666666666666664
Thai,30,1,62,-0.46774193548387094
Spanish,14,6,61,-0.13114754098360656
Australian and New Zealander,3,43,65,0.6153846153846154
Puerto Rican,6,12,60,0.1
Bangladeshi,0,2,12,0.16666666666666666
Norwegian,1,20,26,0.7307692307692307
Polish,6,25,61,0.3114754098360656
Cajun and Creole,12,16,63,0.06349206349206349
Danish,0,26,33,0.7878787878787878
Japanese,31,19,63,-0.19047619047619047
Korean,18,5,56,-0.23214285714285715
Italian,0,22,64,0.34375
Cuban,4,7,65,0.046153846153846156
Soul Food,4,23,63,0.30158730158730157
Scandinavian,0,27,38,0.7105263157894737
Tex-Mex,8,11,55,0.05454545454545454
Peruvian,11,6,38,-0.13157894736842105
Colombian,0,2,11,0.18181818181818182
Argentinian,0,8,30,0.26666666666666666
Greek,5,16,62,0.1774193548387097
Southern Recipes,3,25,50,0.44
Persian,11,9,45,-0.044444444444444446
Canadian,2,31,67,0.43283582089552236
Amish and Mennonite,1,36,61,0.5737704918032787
Filipino,14,12,66,-0.030303030303030304
Russian,2,36,65,0.5230769230769231
Vietnamese,32,6,62,-0.41935483870967744
Dutch,0,20,22,0.9090909090909091
Belgian,0,5,6,0.8333333333333334
Jewish,0,29,61,0.47540983606557374
Indonesian,5,2,24,-0.125
Chinese,29,10,65,-0.2923076923076923
Swedish,2,24,31,0.7096774193548387
Lebanese,1,24,51,0.45098039215686275
South African,0,11,19,0.5789473684210527
